refinery_id,unit_id,nameplate_kbd,effective_kbd,effective_year,eff_vs_nameplate
CHEVRON_PASCAGOULA,COKER,104.0,104.24,2017,1.0023
CHEVRON_PASCAGOULA,DHCU,119.0,100.82,2018,0.8472
CHEVRON_PASCAGOULA,FCC,88.0,83.99,2019,0.9544
CHEVRON_PASCAGOULA,NHT,60.8,73.93,2022,1.216
CHEVRON_PASCAGOULA,REF,40.0,16.94,2021,0.4235
CHEVRON_PASCAGOULA,VDU,330.0,212.76,2017,0.6447
CHEVRON_RICHMOND,ALKY,32.66,20.71,2023,0.6341
CHEVRON_RICHMOND,CDU,257.2,249.0,2018,0.9681
CHEVRON_RICHMOND,DHCU,103.4,59.3,2023,0.5735
CHEVRON_RICHMOND,FCC,90.0,85.58,2018,0.9509
CHEVRON_RICHMOND,ISOM,46.0,20.95,2024,0.4554
CHEVRON_RICHMOND,NHT,57.6,57.6,2024,1.0
CHEVRON_RICHMOND,VDU,123.46,100.65,2024,0.8152
CHEVRON_SALT_LAKE_CITY,ALKY,5.6,6.91,2022,1.2339
CHEVRON_SALT_LAKE_CITY,CDU,57.6,54.0,2023,0.9375
CHEVRON_SALT_LAKE_CITY,COKER,10.0,7.7,2017,0.77
CHEVRON_SALT_LAKE_CITY,FCC,15.5,13.72,2022,0.8852
CHEVRON_SALT_LAKE_CITY,NHT,9.1,15.1,2023,1.6593
CHEVRON_SALT_LAKE_CITY,REF,9.1,8.82,2021,0.9692
CHEVRON_SALT_LAKE_CITY,VDU,27.9,18.84,2017,0.6753
CHS_LAUREL,ALKY,4.0,4.2,2019,1.05
CHS_LAUREL,CDU,65.0,63.29,2024,0.9737
CHS_LAUREL,COKER,16.0,15.88,2022,0.9925
CHS_LAUREL,FCC,16.5,16.34,2024,0.9903
CHS_LAUREL,NHT,17.0,16.62,2024,0.9776
CHS_LAUREL,REF,12.0,11.94,2022,0.995
CHS_LAUREL,VDU,32.2,31.81,2022,0.9879
CITGO_CORPUS_CHRISTI,ALKY,24.35,30.05,2024,1.2341
CITGO_CORPUS_CHRISTI,CCR,51.5,39.12,2023,0.7596
CITGO_CORPUS_CHRISTI,CDU,175.55,158.96,2022,0.9055
CITGO_CORPUS_CHRISTI,COKER,45.13,40.15,2017,0.8897
CITGO_CORPUS_CHRISTI,FCC,70.7,68.15,2022,0.9639
CITGO_CORPUS_CHRISTI,NHT,52.8,49.83,2023,0.9437
CITGO_CORPUS_CHRISTI,VDU,85.3,83.69,2017,0.9811
CITGO_LAKE_CHARLES,ALKY,28.1,28.88,2022,1.0278
CITGO_LAKE_CHARLES,CCR,65.0,64.0,2024,0.9846
CITGO_LAKE_CHARLES,CDU,440.0,435.62,2022,0.99
CITGO_LAKE_CHARLES,COKER,110.0,71.81,2018,0.6528
CITGO_LAKE_CHARLES,DHCU,51.2,46.84,2018,0.9148
CITGO_LAKE_CHARLES,FCC,148.0,143.97,2018,0.9728
