month,flow,kbd,source
2023-11,RECEIPTS,403.0,Actual
2023-11,REFGROUT,337.0,Actual
2023-11,SPR,0.0,Actual
2023-11,STOCKCH,-68.0,Actual
2023-11,TOTDEMO,165.0,Actual
2023-11,TOTEXPSB,440.0,Actual
2023-11,TOTIMPSB,32.0,Actual
2023-12,ADJFACT,0.0,Actual
2023-12,BALANCE,-48.0,Actual
2023-12,BLENDING,241.0,Actual
2023-12,CLOSTLV,46091.0,Actual
2023-12,IPTRANSF,-199.0,Actual
2023-12,PTRANSF,24.0,Actual
2023-12,RECEIPTS,464.0,Actual
2023-12,REFGROUT,353.0,Actual
2023-12,SPR,0.0,Actual
2023-12,STOCKCH,-48.0,Actual
2023-12,TOTDEMO,157.0,Actual
2023-12,TOTEXPSB,503.0,Actual
2023-12,TOTIMPSB,18.0,Actual
2024-01,ADJFACT,0.0,Actual
2024-01,BALANCE,-57.0,Actual
2024-01,BLENDING,262.0,Actual
2024-01,CLOSTLV,44331.0,Actual
2024-01,IPTRANSF,-187.0,Actual
2024-01,PTRANSF,23.0,Actual
2024-01,RECEIPTS,472.0,Actual
2024-01,REFGROUT,372.0,Actual
2024-01,SPR,0.0,Actual
2024-01,STOCKCH,-57.0,Actual
2024-01,TOTDEMO,163.0,Actual
2024-01,TOTEXPSB,543.0,Actual
2024-01,TOTIMPSB,15.0,Actual
2024-02,ADJFACT,-1.0,Actual
2024-02,BALANCE,-21.0,Actual
2024-02,BLENDING,185.0,Actual
2024-02,CLOSTLV,43692.0,Actual
2024-02,IPTRANSF,-221.0,Actual
2024-02,PTRANSF,24.0,Actual
2024-02,RECEIPTS,430.0,Actual
2024-02,REFGROUT,360.0,Actual
2024-02,SPR,0.0,Actual
2024-02,STOCKCH,-22.0,Actual
2024-02,TOTDEMO,178.0,Actual
2024-02,TOTEXPSB,403.0,Actual
2024-02,TOTIMPSB,15.0,Actual
2024-03,ADJFACT,1.0,Actual
2024-03,BALANCE,36.0,Actual
2024-03,BLENDING,175.0,Actual
2024-03,CLOSTLV,44837.0,Actual
2024-03,IPTRANSF,-236.0,Actual
2024-03,PTRANSF,22.0,Actual
2024-03,RECEIPTS,433.0,Actual
2024-03,REFGROUT,388.0,Actual
2024-03,SPR,0.0,Actual
2024-03,STOCKCH,37.0,Actual
2024-03,TOTDEMO,147.0,Actual
2024-03,TOTEXPSB,429.0,Actual
2024-03,TOTIMPSB,49.0,Actual
2024-04,ADJFACT,0.0,Actual
2024-04,BALANCE,-49.0,Actual
2024-04,BLENDING,152.0,Actual
2024-04,CLOSTLV,43381.0,Actual
2024-04,IPTRANSF,-228.0,Actual
2024-04,PTRANSF,22.0,Actual
2024-04,RECEIPTS,402.0,Actual
2024-04,REFGROUT,338.0,Actual
2024-04,SPR,0.0,Actual
