padd,refinery,unit,series_label,dataset_id,date,value,frequency,aspect,aspect_subtype,category,category_subtype,country,country_iso,forecast_start_date,lifecycle_stage,release_date,source,sub_region,asset_id
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2024-10-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2024-11-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2024-12-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2025-01-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2025-02-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2025-03-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2025-04-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2025-05-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2025-06-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2025-07-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2025-08-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2025-09-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2025-10-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2025-11-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2025-12-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2026-01-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
NA,Alliance (Belle Chasse),kbbl_d,Monthly refinery nameplate capacity for US: Alliance (Belle Chasse) in kb/d,570349,2026-02-01,0.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2827
